Drive_X,Drive_Y,Drive_Rotation,Lift,Mast,Claw,Lock,Winch,Time
0.0,-0.021246662846318005,0.0,0.0,0.0,0.0,3,0.0,0.0067200000000013915
0.0,-0.02824095476147897,0.0,0.0,0.0,0.0,3,0.0,0.048028999999999655
0.0,-0.05207273956843037,0.0,0.0,0.0,0.0,3,0.0,0.10057299999999714
0.0,-0.103744645504631,0.0,0.0,0.0,0.0,3,0.0,0.14390699999999867
0.0,-0.175097786022966,0.0,0.0,0.0,0.0,3,0.0,0.19603999999999644
0.0,-0.19523102821800117,0.0,0.0,0.0,0.0,3,0.0,0.2407790000000034
0.0,-0.20947604447562349,0.0,0.0,0.0,0.0,3,0.0,0.2837509999999952
0.0,-0.26476483547802,0.0,0.0,0.0,0.0,3,0.0,0.34930199999999445
0.0,-0.43768065391090505,0.0,0.0,0.0,0.0,3,0.0,0.41850800000000277
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.47404399999999214
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.5277409999999918
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.6106860000000012
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.6722910000000013
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.7267609999999962
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.7805639999999983
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.8243849999999924
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.8690909999999974
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.9321669999999926
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,0.9688129999999973
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.0,1.0221009999999922
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.0830720000000014
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.141846000000001
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.192071999999996
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.251581999999999
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.3097719999999953
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.3654190000000028
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.4220260000000025
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.4808709999999934
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.5306970000000035
0.0,-0.5,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.6084539999999947
0.0,-0.44970418461719824,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.679785999999993
0.0,-0.41428036421578285,0.0,0.0,0.0,0.0,3,0.8505603985056039,1.7515499999999946
0.0,-0.39172935485839844,0.0,0.0,0.0,0.0,3,0.0,1.835532999999998
0.0,-0.370011927496095,0.0,0.0,0.0,0.0,3,0.0,1.8970659999999953
0.0,-0.370011927496095,0.0,0.0,0.0,0.0,3,0.0,1.9986760000000032
0.0,-0.370011927496095,0.0,0.0,0.0,0.0,3,0.0,2.0731889999999993
0.0,-0.370011927496095,0.0,0.0,0.0,0.0,3,0.0,2.1478719999999925
0.0,-0.370011927496095,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.210382999999993
0.0,-0.370011927496095,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.2938680000000033
0.0,-0.370011927496095,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.3717089999999956
0.0,-0.4258733678747106,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.4296760000000006
0.0,-0.44970418461719824,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.4883119999999934
0.0,-0.44970418461719824,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.5477810000000005
0.0,-0.44970418461719824,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.610206000000005
0.0,-0.44970418461719824,0.0,0.0,0.0,0.0,3,0.8505603985056039,2.6662620000000032
0.0,-0.44970418461719824,0.0,0.06549364613880743,0.0,0.0,3,0.8505603985056039,2.724726000000004
0.0,-0.44970418461719824,0.0,0.06549364613880743,0.0,0.0,3,0.8505603985056039,2.7817879999999917
0.0,-0.47440782921140895,0.0,0.06549364613880743,0.0,0.0,3,0.8505603985056039,2.847521999999998
0.0,-0.47440782921140895,0.0,0.06549364613880743,0.0,0.0,3,0.8505603985056039,2.9051180000000016
0.0,-0.5,0.0,0.06549364613880743,0.0,0.0,3,0.8505603985056039,2.961265999999995
0.0,-0.5,0.0,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.019941000000003
0.0,-0.5,0.0,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.072932999999992
0.0,-0.5,0.03958880139982502,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.126132999999996
0.0,-0.5,0.15441819772528434,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.1862239999999957
0.0,-0.5,0.1905074365704287,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.242172999999994
0.0,-0.5,0.2889326334208224,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.2860079999999954
0.0,-0.5,0.2889326334208224,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.342326
0.0,-0.5,0.33814523184601925,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.3940309999999982
0.0,-0.44970418461719824,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.460239999999999
0.0,-0.39172935485839844,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.5263180000000034
0.0,-0.370011927496095,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.600330999999997
0.0,-0.370011927496095,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.665779999999998
0.0,-0.370011927496095,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.7297200000000004
0.0,-0.370011927496095,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.7944159999999982
0.0,-0.370011927496095,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.838495999999992
0.0,-0.370011927496095,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.9048619999999943
0.0,-0.370011927496095,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,3.957183999999998
0.0,-0.338964412568855,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,4.0170909999999935
0.0,-0.31926225994513036,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,4.090092999999996
0.0,-0.31926225994513036,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,4.139932999999999
0.0,-0.31926225994513036,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,4.182554999999994
0.0,-0.31926225994513036,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,4.241416999999998
0.0,-0.31926225994513036,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,4.303975999999992
0.0,-0.31926225994513036,0.3611111111111111,0.06549364613880743,0.0,0.0,3,0.8505603985056039,4.344332999999992
0.0,-0.31926225994513036,0.3611111111111111,0.08602150537634409,0.0,0.0,3,0.8505603985056039,4.415014999999997
0.0,-0.31926225994513036,0.3611111111111111,0.08602150537634409,0.0,0.0,3,0.8505603985056039,4.461918999999995
0.0,-0.31926225994513036,0.3611111111111111,0.08602150537634409,0.0,0.0,3,0.8505603985056039,4.519656999999995
0.0,-0.31926225994513036,0.3611111111111111,0.08602150537634409,0.0,0.0,3,0.8505603985056039,4.559691000000001
-1.0716735253772282e-05,-0.3491123837862159,0.3611111111111111,0.08602150537634409,0.0,0.0,3,0.8505603985056039,4.608955999999992
