Drive_X,Drive_Y,Drive_Rotation,Lift,Mast,Claw,Winch,Time
0,0,0,0,0,0,0,0.010868
0,0,0,0,0,0,0,0.066335
0,0,0,0,0,0,0,0.116322
0,0,0,0,0,0,0,0.172509
0,0,0,0,0,0,0,0.244797
0,0,0,0,0,0,0,0.297422
0,0,0,0,0,0,0,0.348147
0,0,0,0,0,0,0,0.398416
0,0,0,0,0,0,0,0.437366
0,-0.0046350953,0,0,0,0,0,0.511037
0,-0.0644735407,0,0,0,0,0,0.562742
0,-0.0644735407,0,0,0,0,0,0.610488
0,-0.168707998,0,0,0,0,0,0.665157
0,-0.2733790786,0,0,0,0,0,0.715253
0,-0.2733790786,0,0,0,0,0,0.761964
0,-0.2733790786,0,0,0,0,0,0.815603
0,-0.2733790786,0,0,0,0,0,0.86347
0,-0.2821781697,0,0,0,0,0,0.920937
0,-0.2647648355,0,0,0,0,0,0.971067
0,-0.248083044,0,0,0,0,0,1.034717
0,-0.2243976593,-0.0648871528,0,0,0,0,1.090462
0,-0.1230903934,-0.3611111111,0,0,0,0,1.14984
0,-0.0438957476,-0.3611111111,0,0,0,0,1.200732
0,-0.0099329065,-0.3611111111,0,0,0,0,1.247434
0,-0.0026956697,-0.3611111111,0,0,0,0,1.291211
0,0,-0.3611111111,0,0,0,0,1.357875
0,0,-0.3611111111,0,0,0,0,1.407608
0,0,-0.3611111111,0,0,0,0,1.447368
0,0,-0.3611111111,0,0,0,0,1.491972
0,0,-0.3611111111,0,0,0,0,1.530829
0,-2.61639044281547E-009,-0.3611111111,0,0,0,0,1.569104
0,-2.61639044281547E-009,-0.3611111111,0,0,0,0,1.61057
0,-0.0003470668,-0.3611111111,0,0,0,0,1.675456
0,-0.0005938709,-0.3611111111,0,0,0,0,1.723001
0,-0.0007522018,-0.3611111111,0,0,0,0,1.779345
0,-0.0023148148,-0.3611111111,0,0,0,0,1.838622
0,-0.0046350953,-0.3611111111,0,0,0,0,1.886167
0,-0.0142639746,-0.3611111111,0,0,0,0,1.940318
0,-0.0228720038,-0.3611111111,0,0,0,0,2.002321
0,-0.0520727396,-0.3611111111,0,0,0,0,2.058102
0,-0.0520727396,-0.3611111111,0,0,0,0,2.103099
0,-0.0550084997,-0.3611111111,0,0,0,0,2.16517
0,-0.0678543489,-0.3611111111,0,0,0,0,2.208047
0,-0.0992476852,-0.3611111111,0,0,0,0,2.251307
0,-0.1180463459,-0.3611111111,0,0,0,0,2.287791
0,-0.1390804505,-0.3611111111,0,0,0,0,2.328094
0,-0.1563985874,-0.3611111111,0,0,0,0,2.379393
0,-0.1624755859,-0.3611111111,0,0,0,0,2.42452
0,-0.1816469122,-0.3611111111,0,0,0,0,2.474297
0,-0.1816469122,-0.3611111111,0,0,0,0,2.51222
0,-0.2168512959,-0.3611111111,0,0,0,0,2.560448
0,-0.248083044,-0.3611111111,0,0,0,0,2.602962
0,-0.2647648355,-0.3611111111,0,0,0,0,2.650638
0,-0.2911640711,-0.3611111111,0,0,0,0,2.688522
0,-0.2911640711,-0.3611111111,0,0,0,0,2.739064
0,-0.3389644126,-0.3611111111,0,0,0,0,2.772868
0,-0.3807674246,-0.3611111111,0,0,0,0,2.826263
0,-0.3917293549,-0.3611111111,0,0,0,0,2.864903
0,-0.3917293549,-0.3611111111,0,0,0,0,2.915937
0,-0.3594609013,-0.0779079861,0,0,0,0,2.958448
0,-0.309704154,0,0,0,0,0,3.007605
0,-0.309704154,0,0,0,0,0,3.057145
-0.000254669,-0.3003387451,0,0,0,0,0,3.09428
-0.0052337646,-0.3700119275,0,0,0,0,0,3.144238
-0.006581415,-0.4497041846,0,0,0,0,0,3.185622
-0.0081425629,-0.4497041846,0,0,0,0,0,3.236017
-0.0081425629,-0.3807674246,0,0,0,0,0,3.278371
-0.0040839134,-0.3807674246,0,0,0,0,0,3.320843
-0.0040839134,-0.3807674246,0,0,0,0,0,3.368196
-0.0040839134,-0.3807674246,0,0,0,0,0,3.420803
-0.0040839134,-0.4258733679,0,0,0,0,0,3.471409
-0.0011485326,-0.4258733679,0,0,0,0,0,3.507507
-0.0011485326,-0.4258733679,0,0,0,0,0,3.551111
-0.0011485326,-0.4258733679,0,0,0,0,0,3.594725
-0.0011485326,-0.4258733679,0,0,0,0,0,3.650747
-0.0011485326,-0.3917293549,0,0,0,0,0,3.685713
-0.0011485326,-0.3003387451,0,0,0,0,0,3.737322
-0.00045948,-0.2647648355,0,0,0,0,0,3.790527
-0.00045948,-0.2647648355,0,0,0,0,0,3.828297
-0.000254669,-0.256333478,0,0,0,0,0,3.895862
-0.000254669,-0.248083044,0,0,0,0,0,3.9389
-0.000254669,-0.248083044,0,0,0,0,0,3.980437
-5.65140335648147E-007,-0.0992476852,0,0,0,0,0,4.027321
0,-0.0026956697,0,0,0,0,0,4.066171
0,0,0,0,0,0,0,4.123766
0,0,0,0,0,0,0,4.16648
0,0,0,0,0,0,0,4.20686
0,0,0,0,0,0,0,4.259817
0,0,0,0,0,0,0,4.301845
0,0,0,0,0,0,0,4.346431
0,0,0,0,0,0,0,4.420293
0,0,0,0,0,0,0,4.474384
0,0,0,0,0,0,0,4.507287
0,0,0,0,0,0,0,4.54749
0,0,0,0,0,0,0,4.583983
0,0,0,0,0,0,0,4.652608
0,0,0,0,0,0,0,4.724587
0,0,0,0,0,0,0,4.776976
0,0,0,0,0,0,0,4.824475
0,0,0,0,0,0,0,4.863321
0,0,0,0,0,0,0,4.910448
0,0,0,0,0,0,0,4.953505
0,0,0,0,0,0,0,5.00206
0,0,0,0,0,0,0,5.051639
0,0,0,0,0,0,0,5.100457
0,0,0,0,0,0,0,5.155071
0,0,0,0,0,0,0,5.201562
0,0,0,0,0,0,0,5.248796
0,0,0,0,0,0,0,5.292456
0,0,0,0,0,0,0,5.346231
0,0,0,0,0,0,0,5.393166
0,0,0,0,0,0,0,5.457928
0,0,0,0,0,0,0,5.496175
0,0,0,0,0,0,0,5.536347
0,0,0,0,0,0,0,5.573294
0,0,0,0,0,0,0,5.611836
0,0,0,0,0,0,0,5.675086
0,0,0,0,0,0,0,5.715064
0,0,0,0,0,0,0,5.761797
0,0,0,0,0,0,0,5.816743
0,0,0,0,0,0,0,5.858827
0,0,0,0,0,0,0,5.898075
0,0,0,0,0,0,0,5.938223
0,0,0,0,0,0,0,5.973065
0,0,0,0,0,0,0,6.012314
0,0,0,0,0,0,0,6.066386
0,0,0,0,0,0,0,6.113996
0,0,0,0,0,0,0,6.156508
0,0,0,0,0,0,0,6.200463
0,0,0,0,0,0,0,6.24853
0,0,0,0,0,0,0,6.285091
0,0,0,0,0,0,0,6.324266
0,0,0,0,0,0,0,6.351503
0,0,0,0,0,0,0,6.41486
0,0,0,0,0,0,0,6.454479
0,0,0,0,0,0,0,6.491246
0,0,0,0,0,0,0,6.526884
0,0,0,0,0,0,0,6.566403
0,0,0,0,0,0,0,6.614073
0,0,0,0,0,0,0,6.670694
0,0,0,0,0,0,0,6.707745
0,0,0,0,0,0,0,6.747393
0,0,0,0,0,0,0,6.785642
0,0,0,0,0,0,0,6.850608
0,0,0,0,0,0,0,6.88892
0,0,0,0,0,0,0,6.940817
0,0,0,0,0,0,0,6.98505
0,0,0,0,0,0,0,7.048106
0,0,0,0,0,0,0,7.090165
0,0,0,0,0,0,0,7.141365
0,0,0,0,0,0,0,7.186886
0,0,0,0,0,0,0,7.231472
0,0,0,0,0,0,0,7.291149
0,0,0,0,0,0,0,7.356105
0,0,0,0,0,0,0,7.391768
0,0,0,0,0,0,0,7.433083
0,0,0,0,0,0,0,7.46269
0,0,0,0,0,0,0,7.518699
0,0,0,0,0,0,0,7.560186
0,0,0,0,0,0,0,7.602981
0,0,0,0,0,0,0,7.641852
0,0,0,0,0,0,0,7.683413
0,0,0,0,0,0,0,7.736078
0,0,0,0,0,0,0,7.782816
0,0,0,0,0,0,0,7.832231
0,0,0,0,0,0,0,7.880444
0,0,0,0,0,0,0,7.922924
0,0,0,0,0,0,0,7.961889
0,0,0,0,0,0,0,8.015678
0,0,0,0,0,0,0,8.070428
0,0,0,0,0,0,0,8.107871
0,0,0,0,0,0,0,8.159011
0,0,0,0,0,0,0,8.221304
0,0,0,0,0,0,0,8.258155
0,0,0,0,0,0,0,8.316282
0,0,0,0,0,0,0,8.364333
0,0,0,0,0,0,0,8.407018
0,0,0,0,0,0,0,8.451599
0,0,0,0,0,0,0,8.492917
0,0,0,0,0,0,0,8.542069
0,0,0,0,0,0,0,8.584168
0,0,0,0,0,0,0,8.638162
0,0,0,0,0,0,0,8.676239
0,0,0,0,0,0,0,8.729681
0,0,0,0,0,0,0,8.773095
0,0,0,0,0,0,0,8.832391
0,0,0,0,0,0,0,8.87083
0,0,0,0,0,0,0,8.9073
0,0,0,0,0,0,0,8.96555
